DATE,VERB,SYMBOL,EXTENDED NAME
11/11/2020,BUY,HSBA.L,HSBC HLDG
11/11/2020,SELL,KER.PA,KERING
13/11/2020,SELL,SWBI,SMITH & WSSN BRN
13/11/2020,SELL,DPW.DE,DEUTSCHE POST
17/11/2020,BUY,G.MI,Generali
17/11/2020,BUY,COTY,COTY RG-A
18/11/2020,SELL,VNA.DE,VONOVIA
24/11/2020,SELL,LSE.L,LSE
24/11/2020,BUY,UCG.MI,Unicredit
24/11/2020,BUY,GRPN,GROUPON
27/11/2020,SELL,DPZ,Domino's Pizza
27/11/2020,BUY,EL.PA,EssilorLuxottica
30/11/2020,SELL,NKLA,Nikola
30/11/2020,BUY,KARS,KraneShares Electric Vehicles and Future Mobility Index ETF
